,predictions
0,0.09999999999999999
1,0.09999999999999999
2,0.09999999999999999
3,0.09999999999999999
4,0.09999999999999999
5,0.09999999999999999
6,0.09999999999999999
7,0.10632411067193676
8,0.09999999999999999
9,0.09999999999999999
10,0.09999999999999999
11,0.09999999999999999
12,0.09999999999999999
13,0.09999999999999999
14,0.09999999999999999
15,0.09999999999999999
16,0.09999999999999999
17,0.09999999999999999
18,0.09999999999999999
19,0.09999999999999999
20,0.09999999999999999
21,0.10316205533596837
22,0.09999999999999999
23,0.09999999999999999
24,0.09999999999999999
25,0.13952569169960474
26,0.09999999999999999
27,0.09999999999999999
28,0.09999999999999999
29,0.09999999999999999
30,0.09999999999999999
31,0.09999999999999999
32,0.09999999999999999
33,0.09999999999999999
34,0.09999999999999999
35,0.09999999999999999
36,0.09999999999999999
37,0.09999999999999999
38,0.11897233201581027
39,0.09999999999999999
40,0.09999999999999999
41,0.09999999999999999
42,0.09999999999999999
43,0.09999999999999999
44,0.09999999999999999
45,0.10316205533596837
46,0.09999999999999999
47,0.09999999999999999
48,0.09999999999999999
49,0.10632411067193676
50,0.09999999999999999
51,0.09999999999999999
52,0.09999999999999999
53,0.09999999999999999
54,0.10158102766798419
55,0.10158102766798419
56,0.09999999999999999
57,0.09999999999999999
58,0.09999999999999999
59,0.09999999999999999
60,0.09999999999999999
61,0.09999999999999999
62,0.09999999999999999
63,0.09999999999999999
64,0.09999999999999999
65,0.09999999999999999
66,0.09999999999999999
67,0.09999999999999999
68,0.09999999999999999
69,0.09999999999999999
70,0.09999999999999999
71,0.09999999999999999
72,0.09999999999999999
73,0.09999999999999999
74,0.09999999999999999
75,0.09999999999999999
76,0.09999999999999999
77,0.09999999999999999
78,0.09999999999999999
79,0.09999999999999999
80,0.09999999999999999
81,0.09999999999999999
82,0.09999999999999999
83,0.09999999999999999
84,0.09999999999999999
85,0.09999999999999999
86,0.09999999999999999
87,0.09999999999999999
88,0.09999999999999999
89,0.09999999999999999
90,0.09999999999999999
91,0.09999999999999999
92,0.09999999999999999
93,0.09999999999999999
94,0.09999999999999999
95,0.09999999999999999
96,0.10316205533596837
97,0.09999999999999999
98,0.09999999999999999
99,0.09999999999999999
100,0.09999999999999999
101,0.09999999999999999
102,0.09999999999999999
103,0.09999999999999999
104,0.09999999999999999
105,0.09999999999999999
106,0.09999999999999999
107,0.09999999999999999
108,0.09999999999999999
109,0.09999999999999999
110,0.09999999999999999
111,0.09999999999999999
112,0.09999999999999999
113,0.09999999999999999
114,0.250197628458498
115,0.09999999999999999
116,0.09999999999999999
117,0.09999999999999999
118,0.09999999999999999
119,0.09999999999999999
120,0.09999999999999999
121,0.09999999999999999
122,0.09999999999999999
123,0.09999999999999999
124,0.12213438735177864
125,0.09999999999999999
126,0.09999999999999999
127,0.09999999999999999
128,0.09999999999999999
129,0.09999999999999999
130,0.09999999999999999
131,0.09999999999999999
132,0.09999999999999999
133,0.09999999999999999
134,0.09999999999999999
135,0.09999999999999999
136,0.09999999999999999
137,0.09999999999999999
138,0.09999999999999999
139,0.09999999999999999
140,0.09999999999999999
141,0.09999999999999999
142,0.09999999999999999
143,0.09999999999999999
144,0.09999999999999999
145,0.09999999999999999
146,0.09999999999999999
147,0.09999999999999999
148,0.09999999999999999
149,0.09999999999999999
150,0.09999999999999999
151,0.09999999999999999
152,0.09999999999999999
153,0.09999999999999999
154,0.09999999999999999
155,0.09999999999999999
156,0.09999999999999999
157,0.1158102766798419
158,0.09999999999999999
159,0.09999999999999999
160,0.09999999999999999
161,0.09999999999999999
162,0.09999999999999999
163,0.09999999999999999
164,0.09999999999999999
165,0.09999999999999999
166,0.09999999999999999
167,0.09999999999999999
168,0.09999999999999999
169,0.09999999999999999
170,0.09999999999999999
171,0.09999999999999999
172,0.09999999999999999
173,0.09999999999999999
174,0.09999999999999999
175,0.09999999999999999
176,0.09999999999999999
177,0.09999999999999999
178,0.09999999999999999
179,0.1442687747035573
180,0.09999999999999999
181,0.09999999999999999
182,0.09999999999999999
183,0.09999999999999999
184,0.09999999999999999
185,0.09999999999999999
186,0.09999999999999999
187,0.09999999999999999
188,0.09999999999999999
189,0.09999999999999999
190,0.09999999999999999
191,0.09999999999999999
192,0.09999999999999999
193,0.09999999999999999
194,0.09999999999999999
195,0.09999999999999999
196,0.09999999999999999
197,0.09999999999999999
198,0.09999999999999999
199,0.09999999999999999
200,0.10316205533596837
201,0.09999999999999999
202,0.09999999999999999
203,0.09999999999999999
204,0.09999999999999999
205,0.09999999999999999
206,0.09999999999999999
207,0.09999999999999999
208,0.09999999999999999
209,0.09999999999999999
210,0.09999999999999999
211,0.09999999999999999
212,0.09999999999999999
213,0.09999999999999999
214,0.09999999999999999
215,0.09999999999999999
216,0.09999999999999999
217,0.2027157975335968
218,0.5711462450592886
219,0.09999999999999999
220,0.09999999999999999
221,0.09999999999999999
222,0.09999999999999999
223,0.09999999999999999
224,0.09999999999999999
225,0.09999999999999999
226,0.09999999999999999
227,0.09999999999999999
228,0.09999999999999999
229,0.09999999999999999
230,0.10316205533596837
231,0.09999999999999999
232,0.09999999999999999
233,0.09999999999999999
234,0.09999999999999999
235,0.09999999999999999
